Распределение,n,Квантиль,Дисперсия ECDF,Дисперсия гистограмма,Дисперсия KDE
normal,10,0.01,0.3102038985529258,0.32212345136853393,0.48790921170365603
normal,10,0.05,0.22904701506749794,0.2652692806293196,0.3154295882676609
normal,10,0.5,0.13398276779395782,0.13816511191972294,0.10704775649610453
normal,100,0.01,0.0966522431446679,0.09828484330127175,0.0834885419332393
normal,100,0.05,0.04113908350943212,0.03958536798558648,0.033134361569322646
normal,100,0.5,0.015382971230076689,0.014083122049749108,0.012130267234987094
normal,1000,0.01,0.014332411428741504,0.012950283497934641,0.010233977379862015
normal,1000,0.05,0.004312645740761733,0.004143390156053503,0.0034861632711700877
normal,1000,0.5,0.0015890545074563373,0.0014329281070015766,0.0013161207258240218
normal,10000,0.01,0.0013612773088880802,0.0015282498443964945,0.001052908865691008
normal,10000,0.05,0.00045275155399847566,0.0006078936234010214,0.0003772531749185313
normal,10000,0.5,0.00015264420633494914,0.00013778919116731842,0.0001306655651528873
uniform,10,0.01,0.006896925830375343,0.006831795796893589,0.015663808307063657
uniform,10,0.05,0.007908070380696769,0.0067791530832334405,0.011892391704037974
uniform,10,0.5,0.018795895604250056,0.019386488794375902,0.012538247084809545
uniform,100,0.01,0.00018200457476340873,9.7827700361172e-05,0.0005204068389446673
uniform,100,0.05,0.0005384224248515687,0.00026866664670833655,0.0005902920268879114
uniform,100,0.5,0.0025413789459201334,0.002263355404051525,0.001846751212721339
uniform,1000,0.01,1.0447970640101331e-05,2.2496702956462296e-06,2.8798652296841993e-05
uniform,1000,0.05,4.662132722058227e-05,2.8829887621782178e-05,4.2390121026996136e-05
uniform,1000,0.5,0.0002261189024901045,0.0002098939459139797,0.00018439655652051877
uniform,10000,0.01,1.0242080169920492e-06,1.6049138233938592e-07,1.9744773301258043e-06
uniform,10000,0.05,4.999555944784347e-06,3.884319753197157e-06,3.769621979154015e-06
uniform,10000,0.5,2.457370398491368e-05,2.4176750693419814e-05,2.2365641685166937e-05
